X, Y, Z
-4.500000000000000000e+00,-7.5,-135.878890991211
-4.500000000000000000e+00,-7,-94.8815765380859
-4.500000000000000000e+00,-6.5,-67.8468704223633
-4.500000000000000000e+00,-6,-55.3344078063965
-4.500000000000000000e+00,-5.5,-48.9238433837891
-4.500000000000000000e+00,-5,-42.4823226928711
-4.500000000000000000e+00,-4.5,-33.5162506103516
-4.500000000000000000e+00,-4,-22.0384273529053
-4.500000000000000000e+00,-3.5,-8.60990047454834
-4.500000000000000000e+00,-3,4.37200927734375
-4.500000000000000000e+00,-2.5,15.5374565124512
-4.500000000000000000e+00,-2,28.4259300231934
-4.500000000000000000e+00,-1.5,37.7423439025879
-4.500000000000000000e+00,-1,40.924129486084
-4.500000000000000000e+00,-0.5,42.0821495056152
-4.500000000000000000e+00,0,42.7883605957031
-4.500000000000000000e+00,0.5,43.3634033203125
-4.500000000000000000e+00,1,43.8372993469238
-4.500000000000000000e+00,1.5,44.0675315856934
-4.500000000000000000e+00,2,43.3893280029297
-4.500000000000000000e+00,2.5,39.5370140075684
-4.500000000000000000e+00,3,30.0284843444824
-4.500000000000000000e+00,3.5,20.1392135620117
-4.500000000000000000e+00,4,12.7752799987793
-4.500000000000000000e+00,4.5,3.97179532051086
-4.500000000000000000e+00,5,-6.30673456192017
-4.500000000000000000e+00,5.5,-13.4241580963135
-4.500000000000000000e+00,6,-21.6524810791016
-4.500000000000000000e+00,6.5,-35.3438186645508
-4.500000000000000000e+00,7,-51.7146377563477
-4.500000000000000000e+00,7.5,-69.068244934082
-4.500000000000000000e+00,8,-88.9158020019531
-4.500000000000000000e+00,8.5,-105.989517211914
-4.500000000000000000e+00,9,-115.676170349121
-4.500000000000000000e+00,9.5,-122.517761230469
-4.500000000000000000e+00,10,-130.571151733398
-4.500000000000000000e+00,-10,-234.321578979492
-4.000000000000000000e+00,-9.5,-233.001708984375
-4.000000000000000000e+00,-9,-228.346755981445
-4.000000000000000000e+00,-8.5,-214.616134643555
-4.000000000000000000e+00,-8,-185.221405029297
-4.000000000000000000e+00,-7.5,-144.506240844727
-4.000000000000000000e+00,-7,-104.624526977539
-4.000000000000000000e+00,-6.5,-77.3828964233398
-4.000000000000000000e+00,-6,-64.270034790039
-4.000000000000000000e+00,-5.5,-57.5319099426269
-4.000000000000000000e+00,-5,-50.8804702758789
-4.000000000000000000e+00,-4.5,-41.6680641174316
-4.000000000000000000e+00,-4,-29.8439559936523
-4.000000000000000000e+00,-3.5,-16.1495723724365
-4.000000000000000000e+00,-3,-3.29122114181519
-4.000000000000000000e+00,-2.5,7.76061725616455
